,diversity,train_time,test_dataset,accuracy,precision,recall,f1,samples
0,1,366.9938054084778,ElectricDevices,0.7574096842421083,0.7706213250230247,0.7574096842421083,0.7474930500643774,500.0
1,1,366.9938054084778,EthanolLevel,0.2519885601930468,0.6252498405981742,0.2519885601930468,0.16749800673539994,500.0
2,1,366.9938054084778,Phoneme,0.1635038148196043,0.7203189390009186,0.1635038148196043,0.08394652006316868,500.0
3,1,366.9938054084778,ECG5000,0.9140008732947288,0.9211935934499248,0.9140008732947288,0.8849221475960075,500.0
4,1,366.9938054084778,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,1,366.65608763694763,ElectricDevices,0.7039127244758189,0.7207372279977716,0.7039127244758189,0.6745961562107095,500.0
6,1,366.65608763694763,EthanolLevel,0.2370542497095361,0.6128331659828375,0.2370542497095361,0.1449454387145764,500.0
7,1,366.65608763694763,Phoneme,0.13601677335229967,0.7610391172909328,0.13601677335229967,0.05243977656079474,500.0
8,1,366.65608763694763,ECG5000,0.8990032725747769,0.9050857332156016,0.8990032725747769,0.8696462888492676,500.0
9,1,366.65608763694763,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,1,367.00132274627686,ElectricDevices,0.7607154675744715,0.7714593400190717,0.7607154675744715,0.7485590389203322,500.0
11,1,367.00132274627686,EthanolLevel,0.2609586796556142,0.5149832774699591,0.2609586796556142,0.20213267387587933,500.0
12,1,367.00132274627686,Phoneme,0.21658395836027414,0.5465522898865501,0.21658395836027414,0.134898271817985,500.0
13,1,367.00132274627686,ECG5000,0.9303996343588428,0.9207577919795016,0.9303996343588428,0.9056108007685568,500.0
14,1,367.00132274627686,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
15,3,1929.8376269340515,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
16,3,1929.8376269340515,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
17,3,1929.8376269340515,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
18,3,1929.8376269340515,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
19,3,1929.8376269340515,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,5,2022.76483297348,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
21,5,2022.76483297348,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
22,5,2022.76483297348,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
23,5,2022.76483297348,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
24,5,2022.76483297348,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
25,5,2032.3063039779665,ElectricDevices,0.7165955885963351,0.7249693991300655,0.7165955885963351,0.6978505805426688,500.0
26,5,2032.3063039779665,EthanolLevel,0.25497959305270057,0.6242874864523641,0.25497959305270057,0.1611404249003018,500.0
27,5,2032.3063039779665,Phoneme,0.23791232919522395,0.5817757455073307,0.23791232919522395,0.16180690511002147,500.0
28,5,2032.3063039779665,ECG5000,0.9288000743188696,0.9213893921125434,0.9288000743188696,0.9030362632805656,500.0
29,5,2032.3063039779665,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
30,10,2018.694857597351,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
31,10,2018.694857597351,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
32,10,2018.694857597351,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
33,10,2018.694857597351,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
34,10,2018.694857597351,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
35,10,1984.8822214603424,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
36,10,1984.8822214603424,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
37,10,1984.8822214603424,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
38,10,1984.8822214603424,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
39,10,1984.8822214603424,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,20,1962.5012593269348,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
41,20,1962.5012593269348,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
42,20,1962.5012593269348,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
43,20,1962.5012593269348,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
44,20,1962.5012593269348,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
45,20,2368.080117702484,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
46,20,2368.080117702484,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
47,20,2368.080117702484,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
48,20,2368.080117702484,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
49,20,2368.080117702484,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
50,20,2409.2083044052124,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
51,20,2409.2083044052124,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
52,20,2409.2083044052124,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
53,20,2409.2083044052124,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
54,20,2409.2083044052124,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
55,20,2466.256766080857,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
56,20,2466.256766080857,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
57,20,2466.256766080857,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
58,20,2466.256766080857,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
59,20,2466.256766080857,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
60,40,2524.8920693397517,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
61,40,2524.8920693397517,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
62,40,2524.8920693397517,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
63,40,2524.8920693397517,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
64,40,2524.8920693397517,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
65,40,2402.659380435944,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
66,40,2402.659380435944,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
67,40,2402.659380435944,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
68,40,2402.659380435944,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
69,40,2402.659380435944,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
70,40,1864.532517671585,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
71,40,1864.532517671585,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
72,40,1864.532517671585,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
73,40,1864.532517671585,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
74,40,1864.532517671585,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
