diversity,test_dataset,architecture,train_time,accuracy,precision,recall,f1,samples
1,ECG5000,cnn,366.88373859723407,0.9144679267427828,0.9156790395483426,0.9144679267427828,0.8867264124046107,500.0
1,ECG5000,rnn,223.2934327920278,0.6906675487631566,0.8080793896059563,0.6906675487631566,0.5785558781370251,500.0
1,Earthquakes,cnn,366.88373859723407,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,Earthquakes,rnn,223.2934327920278,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,ElectricDevices,cnn,366.88373859723407,0.7406792920974662,0.7542726310132893,0.7406792920974662,0.7235494150651397,500.0
1,ElectricDevices,rnn,223.2934327920278,0.3299479071541374,0.751147924608898,0.3299479071541374,0.2063228644830529,500.0
1,EthanolLevel,cnn,366.88373859723407,0.250000496519399,0.5843554280169903,0.250000496519399,0.17152537310861857,500.0
1,EthanolLevel,rnn,223.2934327920278,0.2569706358427423,0.753058373984853,0.2569706358427423,0.12656634806087272,500.0
1,Phoneme,cnn,366.88373859723407,0.17203484884405937,0.6759701153928005,0.17203484884405937,0.09042818948064946,500.0
1,Phoneme,rnn,223.2934327920278,0.11753514878514877,0.8518584514139679,0.11753514878514877,0.02833324663965695,500.0
3,ECG5000,cnn,1929.8376269340515,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,ECG5000,rnn,102.10206349690755,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,Earthquakes,cnn,1929.8376269340515,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,Earthquakes,rnn,102.10206349690755,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,ElectricDevices,cnn,1929.8376269340515,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
3,ElectricDevices,rnn,102.10206349690755,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
3,EthanolLevel,cnn,1929.8376269340515,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
3,EthanolLevel,rnn,102.10206349690755,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
3,Phoneme,cnn,1929.8376269340515,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
3,Phoneme,rnn,102.10206349690755,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
5,ECG5000,cnn,2027.5355684757233,0.7563000605161081,0.8392059336092058,0.7563000605161081,0.6667110192292287,500.0
5,ECG5000,rnn,125.22377626101176,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
5,Earthquakes,cnn,2027.5355684757233,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,Earthquakes,rnn,125.22377626101176,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,ElectricDevices,cnn,2027.5355684757233,0.4867764872984599,0.7670195559134418,0.4867764872984599,0.4014545957654058,500.0
5,ElectricDevices,rnn,125.22377626101176,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
5,EthanolLevel,cnn,2027.5355684757233,0.2529880537432597,0.7181451737611846,0.2529880537432597,0.1309295296383063,500.0
5,EthanolLevel,rnn,125.22377626101176,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
5,Phoneme,cnn,2027.5355684757233,0.17535406967972758,0.7408515916993872,0.17535406967972758,0.09233697867518954,500.0
5,Phoneme,rnn,125.22377626101176,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
10,ECG5000,cnn,2001.7885395288467,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
10,ECG5000,rnn,335.02873190244037,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
10,Earthquakes,cnn,2001.7885395288467,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,Earthquakes,rnn,335.02873190244037,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,ElectricDevices,cnn,2001.7885395288467,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
10,ElectricDevices,rnn,335.02873190244037,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
10,EthanolLevel,cnn,2001.7885395288467,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
10,EthanolLevel,rnn,335.02873190244037,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
10,Phoneme,cnn,2001.7885395288467,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
10,Phoneme,rnn,335.02873190244037,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
20,ECG5000,cnn,2301.511611878872,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
20,ECG5000,rnn,663.0952397982279,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
20,Earthquakes,cnn,2301.511611878872,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,Earthquakes,rnn,663.0952397982279,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,ElectricDevices,cnn,2301.511611878872,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
20,ElectricDevices,rnn,663.0952397982279,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
20,EthanolLevel,cnn,2301.511611878872,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
20,EthanolLevel,rnn,663.0952397982279,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
20,Phoneme,cnn,2301.511611878872,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
20,Phoneme,rnn,663.0952397982279,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
40,ECG5000,cnn,2264.0279891490936,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
40,ECG5000,rnn,670.4271103541056,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
40,Earthquakes,cnn,2264.0279891490936,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,Earthquakes,rnn,670.4271103541056,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,ElectricDevices,cnn,2264.0279891490936,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
40,ElectricDevices,rnn,670.4271103541056,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
40,EthanolLevel,cnn,2264.0279891490936,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
40,EthanolLevel,rnn,670.4271103541056,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
40,Phoneme,cnn,2264.0279891490936,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
40,Phoneme,rnn,670.4271103541056,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
