,test_dataset,train_time,accuracy,precision,recall,f1
0,OSULeaf,29507.630043506622,0.2194490408776123,0.828715049713198,0.2194490408776123,0.07898985413503055
1,DistalPhalanxOutlineAgeGroup,29507.630043506622,0.5974032691909786,0.7594926064380219,0.5974032691909786,0.446841089196996
2,FiftyWords,29507.630043506622,0.12044106106943009,0.894067168102386,0.12044106106943009,0.025896559253173454
3,MedicalImages,29507.630043506622,0.5205967675093245,0.7504246424559331,0.5205967675093245,0.3564668555629593
4,TwoPatterns,29507.630043506622,0.2611999808921769,0.8070255136657652,0.2611999808921769,0.10819136001063089
5,ScreenType,29507.630043506622,0.3373333333333333,0.5679986748877385,0.3373333333333333,0.20435603027284008
6,EOGVerticalSignal,29507.630043506622,0.24723660596915972,0.4492823613935961,0.24723660596915972,0.1771582967386259
7,TwoLeadECG,29507.630043506622,0.5188981237290996,0.6965735448297942,0.5188981237290996,0.39407659501374237
8,ECGFiveDays,29507.630043506622,0.5113417118259734,0.723899416397242,0.5113417118259734,0.3626306973565245
9,GestureMidAirD2,29507.630043506622,,,,
10,NonInvasiveFetalECGThorax2,29507.630043506622,0.0297476759628154,0.9672829218096752,0.0297476759628154,0.003130054302451753
11,DiatomSizeReduction,29507.630043506622,0.4040325372101073,0.7830834831199978,0.4040325372101073,0.249639649298781
12,EthanolLevel,29507.630043506622,0.2649596329728603,0.6287207946883031,0.2649596329728603,0.15921386773875254
13,DistalPhalanxOutlineCorrect,29507.630043506622,0.615296803652968,0.7632959592168637,0.615296803652968,0.4687573891380759
14,UWaveGestureLibraryX,29507.630043506622,0.25167148809427614,0.5303766634121054,0.25167148809427614,0.18667175161984176
15,Yoga,29507.630043506622,0.5363636363636364,0.7513223140495868,0.5363636363636364,0.3745024206562668
16,Wine,29507.630043506622,0.5135135135135135,0.7501826150474799,0.5135135135135135,0.34845559845559837
17,GestureMidAirD1,29507.630043506622,0.08280657395701643,0.6981785985777943,0.08280657395701643,0.025340159997836734
18,UWaveGestureLibraryAll,29507.630043506622,0.22577090467460004,0.5914606083766946,0.22577090467460004,0.14279918506945508
19,PigCVP,29507.630043506622,0.05769230769230769,0.5768648018648018,0.05769230769230769,0.03419742650511882
20,WormsTwoClass,29507.630043506622,0.5775193798449613,0.7560393005228051,0.5775193798449613,0.4228673726165746
21,Haptics,29507.630043506622,0.2224828934506354,0.6384909009946852,0.2224828934506354,0.10550130744635171
22,Adiac,29507.630043506622,0.037130366440711264,0.9642514638573716,0.037130366440711264,0.002664296140516507
23,FordA,29507.630043506622,0.5135134733431429,0.7501826335001694,0.5135134733431429,0.3484555644572643
24,UMD,29507.630043506622,0.49999999999999994,0.7417265509590315,0.49999999999999994,0.36716224951519066
25,BME,29507.630043506622,0.5166666666666667,0.6836346627908295,0.5166666666666667,0.4052204734209743
26,ShakeGestureWiimoteZ,29507.630043506622,,,,
27,ProximalPhalanxOutlineCorrect,29507.630043506622,0.6790123456790124,0.7820479391747629,0.6790123456790124,0.5492022271525051
28,GunPointOldVersusYoung,29507.630043506622,0.5232818248712289,0.7505494560829852,0.5232818248712289,0.3595225230982413
29,ToeSegmentation2,29507.630043506622,0.7469696969696971,0.8109986225895316,0.7469696969696971,0.6387806637806638
30,CricketX,29507.630043506622,0.09230769230769231,0.7052800153787251,0.09230769230769231,0.03479670145359607
31,PowerCons,29507.630043506622,0.5527777777777778,0.6448180027619279,0.5527777777777778,0.4683316115373188
32,ShapeletSim,29507.630043506622,0.4697723503693653,0.6413581723407175,0.4697723503693653,0.35795416300848704
33,EOGHorizontalSignal,29507.630043506622,0.23754329412571584,0.41948380013128633,0.23754329412571584,0.1569358800577491
34,FaceAll,29507.630043506622,0.24488888888888885,0.8459848643752267,0.24488888888888885,0.1360662024268561
35,MoteStrain,29507.630043506622,0.7515723270440252,0.7640916608200664,0.7515723270440252,0.7449486881565924
36,Fungi,29507.630043506622,0.1568627450980392,0.8374906698216118,0.1568627450980392,0.05400316861883445
37,Wafer,29507.630043506622,0.8936348408710217,0.9049483879475545,0.8936348408710217,0.8434395180976383
38,Car,29507.630043506622,0.3416666666666666,0.5795628902806013,0.3416666666666666,0.30784368610455565
39,BirdChicken,29507.630043506622,0.4743589743589744,0.6676528599605523,0.4743589743589744,0.35297726009800307
40,GunPointAgeSpan,29507.630043506622,0.5055481972038264,0.7500332844400911,0.5055481972038264,0.3395176385436838
41,Strawberry,29507.630043506622,0.642929066905348,0.7704289825996556,0.642929066905348,0.5031962625614345
42,Chinatown,29507.630043506622,0.8512396694214877,0.8473564226686471,0.8512396694214877,0.8458826695151181
43,BeetleFly,29507.630043506622,0.521978021978022,0.7162639710716633,0.521978021978022,0.4080071974808817
44,ProximalPhalanxOutlineAgeGroup,29507.630043506622,0.4776940380605225,0.7505095267927783,0.4776940380605225,0.30885563764229773
45,InsectWingbeatSound,29507.630043506622,0.10363454778181314,0.7163237904496896,0.10363454778181314,0.04312293219215402
46,DodgerLoopDay,29507.630043506622,,,,
47,Symbols,29507.630043506622,0.35490196078431374,0.6481290456295691,0.35490196078431374,0.19137156989509949
48,DistalPhalanxTW,29507.630043506622,0.47310159321332507,0.7507250708743415,0.47310159321332507,0.30388376580534265
49,NonInvasiveFetalECGThorax1,29507.630043506622,0.03054448871181939,0.9668023187597824,0.03054448871181939,0.002492221867672693
50,SemgHandMovementCh2,29507.630043506622,0.2955555555555555,0.301708073413552,0.2955555555555555,0.2450022011746723
51,InsectEPGRegularTrain,29507.630043506622,0.8328043315907393,0.8762996973401261,0.8328043315907393,0.7617075084069324
52,AllGestureWiimoteY,29507.630043506622,0.12498126869384353,0.5576154394322032,0.12498126869384353,0.05833645096687343
53,Phoneme,29507.630043506622,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625
54,Meat,29507.630043506622,0.45,0.7182121971595654,0.45,0.34354891740963417
55,PigArtPressure,29507.630043506622,0.08653846153846155,0.47093762718762716,0.08653846153846155,0.06047609797609798
56,StarLightCurves,29507.630043506622,0.8208096826173631,0.8471585939933518,0.8208096826173631,0.7574026445324833
57,AllGestureWiimoteX,29507.630043506622,0.10600121079162994,0.4740472370555991,0.10600121079162994,0.03424817165606665
58,HouseTwenty,29507.630043506622,0.559748427672956,0.7536489854040583,0.559748427672956,0.4017967867789612
59,SmoothSubspace,29507.630043506622,0.5066666666666667,0.6901784404911296,0.5066666666666667,0.39539754698062907
60,CricketY,29507.630043506622,0.13589743589743591,0.7663214056806124,0.13589743589743591,0.05062179613391441
61,Worms,29507.630043506622,0.4224806201550388,0.7560393005228051,0.4224806201550388,0.2509766119392036
62,HandOutlines,29507.630043506622,0.6386857460939,0.7692338754831494,0.6386857460939,0.4978618202110634
63,GunPoint,29507.630043506622,0.5101763907734057,0.6988675371505916,0.5101763907734057,0.37544657664060654
64,PhalangesOutlinesCorrect,29507.630043506622,0.6388261851015802,0.7692727096698583,0.6388261851015802,0.4980380451342898
65,ECG5000,29507.630043506622,0.8818055116467702,0.8887451919353073,0.8818055116467702,0.8523830000225873
66,Ham,29507.630043506622,0.5187141366718832,0.7503618604194576,0.5187141366718832,0.3543384556973737
67,UWaveGestureLibraryZ,29507.630043506622,0.2458696137530699,0.6133832862114232,0.2458696137530699,0.16890725283643948
68,RefrigerationDevices,29507.630043506622,0.3373333333333333,0.5563314326182583,0.3373333333333333,0.2502154301380184
69,Fish,29507.630043506622,0.16295805088908538,0.7802035854262169,0.16295805088908538,0.06338522119455182
70,PLAID,29507.630043506622,,,,
71,Computers,29507.630043506622,0.5020200562729962,0.7093681159895041,0.5020200562729962,0.3430668627558395
72,Mallat,29507.630043506622,0.16708333333333333,0.6527473477034906,0.16708333333333333,0.07327453061245358
73,ProximalPhalanxTW,29507.630043506622,0.4165312053593419,0.7569679908335658,0.4165312053593419,0.24496279104011676
74,Coffee,29507.630043506622,0.5175438596491228,0.7504616805170823,0.5175438596491228,0.3530953821334946
75,FaceFour,29507.630043506622,0.30346135609293506,0.7887034297905003,0.30346135609293506,0.14136715663031452
76,Beef,29507.630043506622,0.2833333333333334,0.624102564102564,0.2833333333333334,0.23536570183629005
77,SonyAIBORobotSurface1,29507.630043506622,0.5619967793880837,0.7538487868250523,0.5619967793880837,0.40440864878878074
78,CBF,29507.630043506622,0.38602150537634405,0.6202729956754048,0.38602150537634405,0.27341018855573546
79,ACSF1,29507.630043506622,0.14510779436152568,0.8272164644803909,0.14510779436152568,0.060237356296604094
80,PickupGestureWiimoteZ,29507.630043506622,0.2400475341651812,0.7329067990832696,0.2400475341651812,0.138133563802013
81,SemgHandSubjectCh2,29507.630043506622,0.37999999999999995,0.3493012329556014,0.37999999999999995,0.34200483519735053
82,Trace,29507.630043506622,0.32082014171566414,0.795558070290244,0.32082014171566414,0.16692509615159704
83,SmallKitchenAppliances,29507.630043506622,0.3786666666666667,0.7485833237769902,0.3786666666666667,0.2340782782782783
84,Lightning2,29507.630043506622,0.6032520325203251,0.7606821336506048,0.6032520325203251,0.45397881251539784
85,ItalyPowerDemand,29507.630043506622,0.5748159792399631,0.6897790353453627,0.5748159792399631,0.49946020591634527
86,AllGestureWiimoteZ,29507.630043506622,,,,
87,ChlorineConcentration,29507.630043506622,0.5356397141368947,0.751270220171396,0.5356397141368947,0.37366826846402956
88,ShapesAll,29507.630043506622,0.0825,0.8664393988213179,0.0825,0.02579997442338887
89,Plane,29507.630043506622,0.7380952380952381,0.7693959907195201,0.7380952380952381,0.7230799832303592
90,SyntheticControl,29507.630043506622,0.39833333333333326,0.5716514826862825,0.39833333333333326,0.2738193177540298
91,ElectricDevices,29507.630043506622,0.2676556680195075,0.7176330497327466,0.2676556680195075,0.15155138638308233
92,InsectEPGSmallTrain,29507.630043506622,0.8308222676200204,0.8753427235094887,0.8308222676200204,0.7590498963073017
93,LargeKitchenAppliances,29507.630043506622,0.3413333333333333,0.5410695193340799,0.3413333333333333,0.19011091111790698
94,GesturePebbleZ1,29507.630043506622,0.16446644664466448,0.5746010029132478,0.16446644664466448,0.07932628509402391
95,CricketZ,29507.630043506622,0.09358974358974359,0.7588571707577184,0.09358974358974359,0.03279889768226015
96,ECG200,29507.630043506622,0.6650082918739635,0.7772662392845061,0.6650082918739635,0.5312285099598532
97,SwedishLeaf,29507.630043506622,0.24711111111111114,0.4704714407663566,0.24711111111111114,0.19672335172168154
98,SemgHandGenderCh2,29507.630043506622,0.62,0.6743019943019943,0.62,0.5257575757575758
99,MiddlePhalanxTW,29507.630043506622,0.3652761457109283,0.7681531422215655,0.3652761457109283,0.19545946116186894
100,FreezerRegularTrain,29507.630043506622,0.6163333333333334,0.7079447228760944,0.6163333333333334,0.5685107507427684
101,UWaveGestureLibraryY,29507.630043506622,0.37695258839732876,0.29833014157001786,0.37695258839732876,0.29938408774719566
102,MiddlePhalanxOutlineAgeGroup,29507.630043506622,0.48015080297688995,0.7504051433349765,0.48015080297688995,0.3115221615538975
103,GesturePebbleZ2,29507.630043506622,0.12508897948618392,0.5275632877335205,0.12508897948618392,0.05494994856419453
104,Herring,29507.630043506622,0.6015134736064969,0.7603246755104903,0.6015134736064969,0.45185526937032305
105,MixedShapesRegularTrain,29507.630043506622,0.26290598290598294,0.8090197676966908,0.26290598290598294,0.11535065232106907
106,ArrowHead,29507.630043506622,0.38390342052313886,0.7634849742317081,0.38390342052313886,0.21299935103996584
107,ToeSegmentation1,29507.630043506622,0.5223886808156472,0.7505223079972341,0.5223886808156472,0.358514248654284
108,WordSynonyms,29507.630043506622,0.22099257075385212,0.8278466307451108,0.22099257075385212,0.07999837904244111
109,PigAirwayPressure,29507.630043506622,0.04807692307692308,0.7903617216117217,0.04807692307692308,0.037347924847924846
110,MelbournePedestrian,29507.630043506622,,,,
111,GestureMidAirD3,29507.630043506622,0.04440581542351454,0.700623677831163,0.04440581542351454,0.024678387977032073
112,OliveOil,29507.630043506622,0.4166666666666667,0.7575,0.4166666666666667,0.24548440065681446
113,FordB,29507.630043506622,0.5085470085470086,0.7500731525342649,0.5085470085470086,0.34287311287467365
114,CinCECGTorso,29507.630043506622,0.278870542338308,0.5243508896352059,0.278870542338308,0.21841522402385616
115,DodgerLoopGame,29507.630043506622,,,,
116,MixedShapesSmallTrain,29507.630043506622,0.2673268165655071,0.8043496607891099,0.2673268165655071,0.113299988444601
117,SonyAIBORobotSurface2,29507.630043506622,0.6163267731061957,0.763533505045307,0.6163267731061957,0.4700278497192243
118,FreezerSmallTrain,29507.630043506622,0.618139193025142,0.7111949884373874,0.618139193025142,0.5707479312242616
119,Earthquakes,29507.630043506622,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
120,Rock,29507.630043506622,0.3713768115942029,0.7668655482041588,0.3713768115942029,0.20139243061753578
121,DodgerLoopWeekend,29507.630043506622,,,,
122,GunPointMaleVersusFemale,29507.630043506622,0.525504047093451,0.7506531597866889,0.525504047093451,0.3620516990220391
123,MiddlePhalanxOutlineCorrect,29507.630043506622,0.6217732884399552,0.7648312530467413,0.6217732884399552,0.476765752007799
124,InlineSkate,29507.630043506622,0.18000085338795016,0.8523996076796875,0.18000085338795016,0.05491592246217483
125,Crop,29507.630043506622,0.137625,0.6060727685477273,0.137625,0.07603348435109764
126,Lightning7,29507.630043506622,0.26566193853427894,0.8049678136998474,0.26566193853427894,0.11157765126509399
127,FacesUCR,29507.630043506622,0.26399999999999996,0.7960112008760559,0.26399999999999996,0.1636800033338756
